test_before,test_after
0.4871259331703186,16.945024490356445
2.9047112464904785,15.92277717590332
4.887714385986328,12.719381332397461
7.183197975158691,14.613483428955078
8.254136085510254,15.733896255493164
2.975538492202759,15.041986465454102
2.6018922328948975,13.99199390411377
15.195109367370605,16.66966438293457
3.5133135318756104,15.421597480773926
13.04749584197998,17.76011848449707
8.974359512329102,15.641026496887207
10.228509902954102,17.519041061401367
11.131420135498047,18.205080032348633
15.721789360046387,21.89820671081543
10.752137184143066,17.65812110900879
11.256869316101074,18.595993041992188
15.307008743286133,19.290311813354492
13.786194801330566,17.865598678588867
15.572331428527832,18.66221809387207
9.8024320602417,13.33586597442627
14.1748685836792,17.41105079650879
13.421721458435059,18.41627311706543
17.460002899169922,18.803081512451172
17.31207275390625,21.57000160217285
16.292034149169922,17.802553176879883
14.184660911560059,16.8279972076416
20.0,20.66666603088379
17.308353424072266,17.875558853149414
21.110912322998047,22.1646728515625
18.002155303955078,20.966583251953125
17.025981903076172,19.384557723999023
16.101850509643555,18.171825408935547
15.026571273803711,19.882719039916992
19.787233352661133,20.831722259521484
19.45907974243164,21.4611873626709
20.586132049560547,22.390993118286133
18.12067985534668,20.10087776184082
17.405181884765625,18.96357536315918
21.209434509277344,21.8123779296875
24.452682495117188,25.017654418945312
15.85944938659668,17.663816452026367
24.04523468017578,25.194660186767578
22.953367233276367,23.039724349975586
19.083271026611328,20.142438888549805
20.281232833862305,20.605731964111328
19.3792724609375,20.192129135131836
18.365774154663086,19.772594451904297
17.69499397277832,20.760574340820312
22.022003173828125,22.24962043762207
19.89061164855957,21.567913055419922
23.232322692871094,23.88167381286621
22.617328643798828,23.231046676635742
19.909746170043945,20.16245460510254
20.60787010192871,21.50386619567871
19.29242706298828,19.29242706298828
19.250425338745117,21.14328956604004
24.304195404052734,24.931400299072266
20.37366485595703,20.960853576660156
22.06456184387207,22.73855972290039
20.964475631713867,21.185348510742188
23.166385650634766,23.466516494750977
20.544416427612305,21.335294723510742
22.5197696685791,22.951114654541016
21.27388572692871,21.201091766357422
20.593658447265625,20.630531311035156
22.192890167236328,21.92889976501465
23.149370193481445,23.469579696655273
21.02899932861328,20.505146026611328
21.198406219482422,21.252716064453125
21.435108184814453,21.49002456665039
19.98507308959961,20.73147964477539
22.53207015991211,22.067298889160156
20.26463508605957,20.42776870727539
20.985010147094727,21.199142456054688
22.23180389404297,23.0079345703125
24.792320251464844,25.235370635986328
23.207935333251953,22.534156799316406
19.936708450317383,20.290393829345703
23.294384002685547,23.95401382446289
25.74583625793457,25.37775993347168
24.768476486206055,24.5687313079834
21.193092346191406,21.733821868896484
23.99863624572754,24.22021484375
21.75652313232422,21.930435180664062
18.26509666442871,18.90073013305664
22.047243118286133,22.12049102783203
21.659765243530273,21.829132080078125
23.239309310913086,24.040035247802734
20.651309967041016,20.333599090576172
19.97782325744629,19.774534225463867
21.498126983642578,21.048688888549805
24.642601013183594,24.642601013183594
23.51643943786621,23.616680145263672
21.88658332824707,22.405485153198242
22.773170471191406,22.71907615661621
22.347267150878906,22.63308334350586
22.760543823242188,22.899965286254883
25.112730026245117,24.991329193115234
20.629732131958008,20.09635353088379
20.54559326171875,20.469287872314453
20.825408935546875,20.768352508544922
20.80645179748535,20.05376434326172
20.452455520629883,20.213354110717773
22.92812728881836,22.50221824645996
19.949403762817383,19.96747398376465
20.05797004699707,20.425121307373047
22.262248992919922,21.974063873291016
21.401443481445312,21.38245391845703
23.48853302001953,22.94996452331543
22.183549880981445,21.707271575927734
20.053333282470703,19.573333740234375
23.3303165435791,23.348417282104492
20.870655059814453,20.566104888916016
20.445884704589844,20.102895736694336
20.25475311279297,20.326515197753906
20.290374755859375,20.039432525634766
19.685190200805664,19.72311782836914
23.09967041015625,22.73438835144043
23.266857147216797,23.038936614990234
24.323843002319336,23.576513290405273
19.76849365234375,19.641887664794922
20.44444465637207,20.16666603088379
20.45968246459961,20.64807891845703
23.668529510498047,23.519554138183594
21.546768188476562,21.546768188476562
19.435216903686523,19.379844665527344
21.234216690063477,21.02080726623535
17.95636749267578,17.35968780517578
21.035715103149414,21.01785659790039
22.664051055908203,21.932952880859375
22.735443115234375,22.59166145324707
20.921052932739258,20.751880645751953
23.002058029174805,23.039491653442383
21.12165641784668,20.966350555419922
21.35568618774414,21.04591941833496
20.240480422973633,20.386226654052734
25.279150009155273,25.205930709838867
23.27193260192871,23.071311950683594
18.96426010131836,18.745441436767578
20.26746940612793,20.30514144897461
23.774822235107422,23.884132385253906
20.231422424316406,20.321823120117188
24.26536750793457,24.103118896484375
25.52960205078125,25.475284576416016
18.239912033081055,18.239912033081055
21.512664794921875,21.298608779907227
22.34848403930664,22.329544067382812
20.403749465942383,20.187456130981445
20.724924087524414,20.724924087524414
21.217390060424805,21.23671531677246
21.560283660888672,21.843971252441406
21.329833984375,21.399824142456055
20.734756469726562,20.619348526000977
21.402978897094727,21.38412094116211
23.491655349731445,23.454978942871094
20.41584587097168,20.55923843383789
19.54728889465332,19.54728889465332
19.64960479736328,19.44348907470703
19.54602813720703,19.618085861206055
21.705562591552734,21.705562591552734
20.379655838012695,20.111032485961914
22.413488388061523,22.448978424072266
22.16178321838379,22.003860473632812
20.49689483642578,20.53453826904297
23.19441795349121,23.175561904907227
22.480070114135742,22.320636749267578
20.806991577148438,20.695425033569336
20.303194046020508,20.393430709838867
20.09433937072754,19.98113250732422
20.56687355041504,20.60230255126953
23.6981143951416,23.67924690246582
22.015195846557617,21.997106552124023
19.888107299804688,19.70763397216797
21.594152450561523,21.326675415039062
20.007431030273438,20.286087036132812
24.56486701965332,24.493091583251953
21.81679916381836,21.5887508392334
20.371719360351562,19.98906707763672
21.86506462097168,21.935710906982422
19.58092498779297,19.40028953552246
20.775253295898438,20.641590118408203
20.571643829345703,20.552839279174805
20.466556549072266,20.448333740234375
21.630037307739258,21.55677604675293
18.41541862487793,18.308349609375
19.482820510864258,19.57137680053711
22.970672607421875,22.70577049255371
19.021835327148438,19.0567684173584
21.1689510345459,21.05936050415039
21.18303871154785,21.130693435668945
20.644817352294922,20.466690063476562
22.48704719543457,22.504318237304688
23.840478897094727,23.840478897094727
18.10553741455078,18.10553741455078
19.73528289794922,19.83405876159668
18.374557495117188,18.30388832092285
19.97258758544922,19.835519790649414
22.767698287963867,22.714336395263672
19.653072357177734,19.653072357177734
19.54421043395996,19.398359298706055
